"trackid","trackname","albumid","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","composer","milliseconds","bytes","unitprice","invoiceid","customerid","customerfirstname","customerlastname","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","invoicelinequantity","invoicelineunitprice"
521,"Menino Do Rio",23,"Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",NULL,147670,4862277,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
530,"Ando Meio Desligado",42,"Minha História",57,"Os Mutantes",1,"MPEG audio file",4,"Alternative & Punk","Arnaldo Baptista - Rita Lee -  Sérgio Dias",287817,9484504,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
539,"Rita Lee",42,"Minha História",57,"Os Mutantes",1,"MPEG audio file",4,"Alternative & Punk","Arnaldo Baptista/Rita Lee/Sérgio Dias",189257,6270503,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
548,"Smoke On The Water",43,"MK III The Final Concerts [Disc 1]",58,"Deep Purple",1,"MPEG audio file",1,"Rock","Gillan/Glover/Lord/Paice",618031,20103125,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
557,"Beija-Flor",45,"Sambas De Enredo 2001",21,"Various Artists",1,"MPEG audio file",7,"Latin","Caruso/Cleber/Deo/Osmar",327000,10991159,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
566,"Caprichosos",45,"Sambas De Enredo 2001",21,"Various Artists",1,"MPEG audio file",7,"Latin","Gule/Jorge 101/Lequinho/Luiz Piao",351320,11870956,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
575,"Do You Like The Way",46,"Supernatural",59,"Santana",1,"MPEG audio file",1,"Rock","L. Hill",354899,11741062,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
584,"Manuel",47,"The Best of Ed Motta",37,"Ed Motta",1,"MPEG audio file",7,"Latin",NULL,230269,7677671,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
593,"Do You Have Other Loves?",47,"The Best of Ed Motta",37,"Ed Motta",1,"MPEG audio file",7,"Latin",NULL,295235,9604273,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
602,"'Round Midnight",48,"The Essential Miles Davis [Disc 1]",68,"Miles Davis",1,"MPEG audio file",2,"Jazz","Miles Davis",357459,11590284,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
611,"E.S.P.",49,"The Essential Miles Davis [Disc 2]",68,"Miles Davis",1,"MPEG audio file",2,"Jazz","Miles Davis",330684,11079866,"0.99",334,39,"Camille","Bernard","2025-01-07 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","13.86",1,"0.99"
625,"Blue Rythm Fantasy",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,348212,11204006,"0.99",335,53,"Phil","Hughes","2025-01-15 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","0.99",1,"0.99"
626,"Drum Boogie",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,191555,6185636,"0.99",336,54,"Steve","Murray","2025-01-28 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","1.98",1,"0.99"
627,"Let Me Off Uptown",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,187637,6034685,"0.99",336,54,"Steve","Murray","2025-01-28 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","1.98",1,"0.99"
629,"Opus No.1",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,179800,5846041,"0.99",337,56,"Diego","Gutiérrez","2025-01-28 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","1.98",1,"0.99"
631,"How High The Moon",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,201430,6529487,"0.99",337,56,"Diego","Gutiérrez","2025-01-28 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","1.98",1,"0.99"
633,"Up An' Atom",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,179565,5822645,"0.99",338,58,"Manoj","Pareek","2025-01-29 00:00:00","12,Community Centre","Delhi",NULL,"India","110017","3.96",1,"0.99"
635,"Lemon Drop",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,194089,6287531,"0.99",338,58,"Manoj","Pareek","2025-01-29 00:00:00","12,Community Centre","Delhi",NULL,"India","110017","3.96",1,"0.99"
637,"Overtime",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,163030,5432236,"0.99",338,58,"Manoj","Pareek","2025-01-29 00:00:00","12,Community Centre","Delhi",NULL,"India","110017","3.96",1,"0.99"
639,"Don't Take Your Love From Me",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,282331,9244238,"0.99",338,58,"Manoj","Pareek","2025-01-29 00:00:00","12,Community Centre","Delhi",NULL,"India","110017","3.96",1,"0.99"
643,"Jungle Drums",51,"Up An' Atom",69,"Gene Krupa",1,"MPEG audio file",2,"Jazz",NULL,199627,6546063,"0.99",339,3,"François","Tremblay","2025-01-30 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","5.94",1,"0.99"
647,"Pot-Pourri N.º 4",52,"Vinícius De Moraes - Sem Limite",70,"Toquinho & Vinícius",1,"MPEG audio file",11,"Bossa Nova",NULL,392437,13125975,"0.99",339,3,"François","Tremblay","2025-01-30 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","5.94",1,"0.99"
651,"Pot-Pourri N.º 5",52,"Vinícius De Moraes - Sem Limite",70,"Toquinho & Vinícius",1,"MPEG audio file",11,"Bossa Nova",NULL,219898,7117769,"0.99",339,3,"François","Tremblay","2025-01-30 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","5.94",1,"0.99"
655,"Por Que Será",52,"Vinícius De Moraes - Sem Limite",70,"Toquinho & Vinícius",1,"MPEG audio file",11,"Bossa Nova",NULL,162142,5371483,"0.99",339,3,"François","Tremblay","2025-01-30 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","5.94",1,"0.99"
659,"Samba Em Prelúdio",52,"Vinícius De Moraes - Sem Limite",70,"Toquinho & Vinícius",1,"MPEG audio file",11,"Bossa Nova",NULL,212636,6923473,"0.99",339,3,"François","Tremblay","2025-01-30 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","5.94",1,"0.99"
663,"Chão de Giz (Elba Ramalho)",53,"Vozes do MPB",21,"Various Artists",1,"MPEG audio file",7,"Latin",NULL,274834,9016916,"0.99",339,3,"François","Tremblay","2025-01-30 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","5.94",1,"0.99"
669,"Caçador de Mim (Sá & Guarabyra)",53,"Vozes do MPB",21,"Various Artists",1,"MPEG audio file",7,"Latin",NULL,238341,7751360,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
675,"Susie Q",54,"Chronicle, Vol. 1",76,"Creedence Clearwater Revival",1,"MPEG audio file",1,"Rock","Hawkins-Lewis-Broadwater",275565,9043825,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
681,"Commotion",54,"Chronicle, Vol. 1",76,"Creedence Clearwater Revival",1,"MPEG audio file",1,"Rock","J. C. Fogerty",162899,5354252,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
687,"Run Through The Jungle",54,"Chronicle, Vol. 1",76,"Creedence Clearwater Revival",1,"MPEG audio file",1,"Rock","J. C. Fogerty",186044,6156567,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
693,"Sweet Hitch-Hiker",54,"Chronicle, Vol. 1",76,"Creedence Clearwater Revival",1,"MPEG audio file",1,"Rock","J. C. Fogerty",175490,5716603,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
699,"Tombstone Shadow",55,"Chronicle, Vol. 2",76,"Creedence Clearwater Revival",1,"MPEG audio file",1,"Rock","J.C. Fogerty",218880,7209080,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
705,"The Midnight Special",55,"Chronicle, Vol. 2",76,"Creedence Clearwater Revival",1,"MPEG audio file",1,"Rock","J.C. Fogerty",253596,8297482,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
711,"Molina",55,"Chronicle, Vol. 2",76,"Creedence Clearwater Revival",1,"MPEG audio file",1,"Rock","J.C. Fogerty",163239,5390811,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
717,"Eu Sou Neguinha (Ao Vivo)",56,"Cássia Eller - Coleção Sem Limite [Disc 2]",77,"Cássia Eller",1,"MPEG audio file",7,"Latin",NULL,251768,8376000,"0.99",340,9,"Kara","Nielsen","2025-02-02 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","8.91",1,"0.99"
726,"Palavras Ao Vento",56,"Cássia Eller - Coleção Sem Limite [Disc 2]",77,"Cássia Eller",1,"MPEG audio file",7,"Latin",NULL,212453,7048676,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
735,"Metrô. Linha 743",57,"Cássia Eller - Sem Limite [Disc 1]",77,"Cássia Eller",1,"MPEG audio file",7,"Latin",NULL,174654,5837495,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
744,"Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)",57,"Cássia Eller - Sem Limite [Disc 1]",77,"Cássia Eller",1,"MPEG audio file",7,"Latin",NULL,188473,6195854,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
753,"You Keep On Moving",58,"Come Taste The Band",58,"Deep Purple",1,"MPEG audio file",1,"Rock","Coverdale/Hughes",319111,10447868,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
762,"No No No",60,"Fireball",58,"Deep Purple",1,"MPEG audio file",1,"Rock","Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",414902,13646606,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
771,"Nobody's Home",61,"Knocking at Your Back Door: The Best Of Deep Purple in the 80's",58,"Deep Purple",1,"MPEG audio file",1,"Rock","Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",243017,7929493,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
780,"Maybe I'm A Leo",62,"Machine Head",58,"Deep Purple",1,"MPEG audio file",1,"Rock","Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover",290455,9502646,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
789,"Sometimes I Feel Like Screaming",63,"Purpendicular",58,"Deep Purple",1,"MPEG audio file",1,"Rock","Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",451840,14789410,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
798,"King Of Dreams",64,"Slaves And Masters",58,"Deep Purple",1,"MPEG audio file",1,"Rock","Blackmore, Glover, Turner",328385,10733847,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
807,"Stormbringer",65,"Stormbringer",58,"Deep Purple",1,"MPEG audio file",1,"Rock","D.Coverdale/R.Blackmore/Ritchie Blackmore",246413,8044864,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
816,"The Battle Rages On",66,"The Battle Rages On",58,"Deep Purple",1,"MPEG audio file",1,"Rock","ian paice/jon lord",356963,11626228,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
825,"One Man's Meat",66,"The Battle Rages On",58,"Deep Purple",1,"MPEG audio file",1,"Rock","roger glover",278804,9068960,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
834,"When Love & Hate Collide",67,"Vault: Def Leppard's Greatest Hits",78,"Def Leppard",1,"MPEG audio file",1,"Rock",NULL,257280,8364633,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
843,"Otay",68,"Outbreak",79,"Dennis Chambers",1,"MPEG audio file",2,"Jazz","John Scofield, Robert Aries, Milton Chambers and Gary Grainger",423653,14176083,"0.99",341,18,"Michelle","Brooks","2025-02-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","13.86",1,"0.99"
857,"Álibi",69,"Djavan Ao Vivo - Vol. 02",80,"Djavan",1,"MPEG audio file",7,"Latin",NULL,213237,6928434,"0.99",342,32,"Aaron","Mitchell","2025-02-15 00:00:00","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9","0.99",1,"0.99"
858,"Esquinas",69,"Djavan Ao Vivo - Vol. 02",80,"Djavan",1,"MPEG audio file",7,"Latin",NULL,280999,9096726,"0.99",343,33,"Ellie","Sullivan","2025-02-28 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","1.98",1,"0.99"
859,"Se...",69,"Djavan Ao Vivo - Vol. 02",80,"Djavan",1,"MPEG audio file",7,"Latin",NULL,286432,9413777,"0.99",343,33,"Ellie","Sullivan","2025-02-28 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","1.98",1,"0.99"
861,"Lilás",69,"Djavan Ao Vivo - Vol. 02",80,"Djavan",1,"MPEG audio file",7,"Latin",NULL,274181,9049542,"0.99",344,35,"Madalena","Sampaio","2025-02-28 00:00:00","Rua dos Campeões Europeus de Viena, 4350","Porto",NULL,"Portugal",NULL,"1.98",1,"0.99"
863,"Um Amor Puro",69,"Djavan Ao Vivo - Vol. 02",80,"Djavan",1,"MPEG audio file",7,"Latin",NULL,327784,10687311,"0.99",344,35,"Madalena","Sampaio","2025-02-28 00:00:00","Rua dos Campeões Europeus de Viena, 4350","Porto",NULL,"Portugal",NULL,"1.98",1,"0.99"
865,"Nem Um Dia",70,"Djavan Ao Vivo - Vol. 1",80,"Djavan",1,"MPEG audio file",7,"Latin","Djavan",337423,11181446,"0.99",345,37,"Fynn","Zimmermann","2025-03-01 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","3.96",1,"0.99"
867,"Açai",70,"Djavan Ao Vivo - Vol. 1",80,"Djavan",1,"MPEG audio file",7,"Latin","Djavan",270968,8893682,"0.99",345,37,"Fynn","Zimmermann","2025-03-01 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","3.96",1,"0.99"
869,"Flor De Lis",70,"Djavan Ao Vivo - Vol. 1",80,"Djavan",1,"MPEG audio file",7,"Latin","Djavan",236355,7801108,"0.99",345,37,"Fynn","Zimmermann","2025-03-01 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","3.96",1,"0.99"
871,"Azul",70,"Djavan Ao Vivo - Vol. 1",80,"Djavan",1,"MPEG audio file",7,"Latin","Djavan",253962,8381029,"0.99",345,37,"Fynn","Zimmermann","2025-03-01 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","3.96",1,"0.99"
875,"Acelerou",70,"Djavan Ao Vivo - Vol. 1",80,"Djavan",1,"MPEG audio file",7,"Latin","Djavan",284133,9391439,"0.99",346,41,"Marc","Dubois","2025-03-02 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","5.94",1,"0.99"
879,"Atrás da Porta",71,"Elis Regina-Minha História",41,"Elis Regina",1,"MPEG audio file",7,"Latin",NULL,166608,5432518,"0.99",346,41,"Marc","Dubois","2025-03-02 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","5.94",1,"0.99"
883,"Alô, Alô, Marciano",71,"Elis Regina-Minha História",41,"Elis Regina",1,"MPEG audio file",7,"Latin",NULL,241397,8137254,"0.99",346,41,"Marc","Dubois","2025-03-02 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","5.94",1,"0.99"
887,"As Aparências Enganam",71,"Elis Regina-Minha História",41,"Elis Regina",1,"MPEG audio file",7,"Latin",NULL,247379,8014346,"0.99",346,41,"Marc","Dubois","2025-03-02 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","5.94",1,"0.99"
891,"Layla",72,"The Cream Of Clapton",81,"Eric Clapton",1,"MPEG audio file",6,"Blues","Clapton/Gordon",430733,14115792,"0.99",346,41,"Marc","Dubois","2025-03-02 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","5.94",1,"0.99"
895,"Crossroads",72,"The Cream Of Clapton",81,"Eric Clapton",1,"MPEG audio file",6,"Blues","Clapton/Robert Johnson Arr: Eric Clapton",253335,8273540,"0.99",346,41,"Marc","Dubois","2025-03-02 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","5.94",1,"0.99"
901,"After Midnight",72,"The Cream Of Clapton",81,"Eric Clapton",1,"MPEG audio file",6,"Blues","Clapton/J. J. Cale",191320,6460941,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
907,"Promises",72,"The Cream Of Clapton",81,"Eric Clapton",1,"MPEG audio file",6,"Blues","Clapton/F.eldman/Linn",180401,6006154,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
913,"Lonely Stranger",73,"Unplugged",81,"Eric Clapton",1,"MPEG audio file",6,"Blues","Eric Clapton",328724,10894406,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
919,"San Francisco Bay Blues",73,"Unplugged",81,"Eric Clapton",1,"MPEG audio file",6,"Blues","Jesse Fuller",203363,6724021,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
925,"Last Cup Of Sorrow",74,"Album Of The Year",82,"Faith No More",1,"MPEG audio file",4,"Alternative & Punk","Bill Gould/Mike Patton",251663,8221247,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
931,"Got That Feeling",74,"Album Of The Year",82,"Faith No More",1,"MPEG audio file",4,"Alternative & Punk","Mike Patton",140852,4643227,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
937,"Midlife Crisis",75,"Angel Dust",82,"Faith No More",1,"MPEG audio file",4,"Alternative & Punk",NULL,263235,8628841,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
943,"Be Aggressive",75,"Angel Dust",82,"Faith No More",1,"MPEG audio file",4,"Alternative & Punk",NULL,222432,7298027,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
949,"Get Out",76,"King For A Day Fool For A Lifetime",82,"Faith No More",1,"MPEG audio file",1,"Rock","Mike Bordin, Billy Gould, Mike Patton",137482,4524972,"0.99",347,47,"Lucas","Mancini","2025-03-05 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","8.91",1,"0.99"
958,"Take This Bottle",76,"King For A Day Fool For A Lifetime",82,"Faith No More",1,"MPEG audio file",1,"Rock","Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",298997,9779971,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
967,"Surprise! You're Dead!",77,"The Real Thing",82,"Faith No More",1,"MPEG audio file",4,"Alternative & Punk","Faith No More",147226,4823036,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
976,"Falamansa Song",78,"Deixa Entrar",83,"Falamansa",1,"MPEG audio file",7,"Latin",NULL,237165,7921313,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
985,"Medo De Escuro",78,"Deixa Entrar",83,"Falamansa",1,"MPEG audio file",7,"Latin",NULL,213760,7056323,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
994,"The Last Song",79,"In Your Honor [Disc 1]",84,"Foo Fighters",1,"MPEG audio file",1,"Rock","Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",199523,6496742,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1003,"Friend Of A Friend",80,"In Your Honor [Disc 2]",84,"Foo Fighters",1,"MPEG audio file",1,"Rock","Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",193280,6355088,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1012,"Times Like These",81,"One By One",84,"Foo Fighters",1,"MPEG audio file",4,"Alternative & Punk","Foo Fighters",266370,8624691,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1021,"Monkey Wrench",82,"The Colour And The Shape",84,"Foo Fighters",1,"MPEG audio file",1,"Rock","Dave, Taylor, Nate, Chris",231523,7527531,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1030,"Everlong",82,"The Colour And The Shape",84,"Foo Fighters",1,"MPEG audio file",1,"Rock","Dave Grohl",250749,8270816,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1039,"What Now My Love",83,"My Way: The Best Of Frank Sinatra [Disc 1]",85,"Frank Sinatra",1,"MPEG audio file",12,"Easy Listening","carl sigman/gilbert becaud/pierre leroyer",149995,4913383,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1048,"It Was A Very Good Year",83,"My Way: The Best Of Frank Sinatra [Disc 1]",85,"Frank Sinatra",1,"MPEG audio file",12,"Easy Listening","ervin drake",266605,8554066,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1057,"Entrando Na Sua (Intro)",84,"Roda De Funk",86,"Funk Como Le Gusta",1,"MPEG audio file",7,"Latin",NULL,179252,5840027,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1066,"Dujji",84,"Roda De Funk",86,"Funk Como Le Gusta",1,"MPEG audio file",7,"Latin",NULL,324597,10833935,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1075,"Esperando Na Janela",85,"As Canções de Eu Tu Eles",27,"Gilberto Gil",1,"MPEG audio file",10,"Soundtrack","Manuca/Raimundinho DoAcordion/Targino Godim",261041,8660617,"0.99",348,56,"Diego","Gutiérrez","2025-03-10 00:00:00","307 Macacha Güemes","Buenos Aires",NULL,"Argentina","1106","13.86",1,"0.99"
1089,"Is This Love (Live)",86,"Quanta Gente Veio Ver (Live)",27,"Gilberto Gil",1,"MPEG audio file",7,"Latin",NULL,295262,9819759,"0.99",349,11,"Alexandre","Rocha","2025-03-18 00:00:00","Av. Paulista, 2022","São Paulo","SP","Brazil","01310-200","0.99",1,"0.99"
1090,"Stir It Up (Live)",86,"Quanta Gente Veio Ver (Live)",27,"Gilberto Gil",1,"MPEG audio file",7,"Latin",NULL,282409,9594738,"0.99",350,12,"Roberto","Almeida","2025-03-31 00:00:00","Praça Pio X, 119","Rio de Janeiro","RJ","Brazil","20040-020","1.98",1,"0.99"
1091,"Refavela (Live)",86,"Quanta Gente Veio Ver (Live)",27,"Gilberto Gil",1,"MPEG audio file",7,"Latin",NULL,236695,7985305,"0.99",350,12,"Roberto","Almeida","2025-03-31 00:00:00","Praça Pio X, 119","Rio de Janeiro","RJ","Brazil","20040-020","1.98",1,"0.99"
1093,"Quanta (Live)",86,"Quanta Gente Veio Ver (Live)",27,"Gilberto Gil",1,"MPEG audio file",7,"Latin",NULL,357485,11774865,"0.99",351,14,"Mark","Philips","2025-03-31 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","1.98",1,"0.99"
1095,"Pela Internet (Live)",86,"Quanta Gente Veio Ver (Live)",27,"Gilberto Gil",1,"MPEG audio file",7,"Latin",NULL,263471,8804401,"0.99",351,14,"Mark","Philips","2025-03-31 00:00:00","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7","1.98",1,"0.99"
